buddy,good;amigo,bueno
information,updated;información,actualizado;información,actualizar
scene,brilliant;escena,brillante
musician,great;músico,grande;músico,gran
description,brief;descripción,breve
mother,excellent;madre,excelente
variety,wide;variedad,grande;variedad,amplio
mistake,bad;error,grande;error,gran
regards,kind;saludo,cordial
time,best;época,mejor
help,great;ayuda,grande;ayuda,gran
pressure,enormous;presión,enorme
priority,low;prioridad,bajo
urge,irresistible;impulso,irrefrenable;ansia,irrefrenable;necesidad,imperioso
bump,slight;golpe,ligero;abolladura,ligero
hair,bushy;pelo,mucho
fun,much;diversión,grande;diversión,gran
silence,long;silencio,largo
thing,good;cosa,bueno
latitude,high;latitud,alto
time,countless;vez,incontable;vez,infinito
undertaking,small;proyecto,pequeño;empresa,pequeño
disease,great;enfermedad,grande;enfermedad,gran
book,good;libro,bueno
breath,bad;aliento,malo
place,best;lugar,mejor
will,strong;voluntad,fuerte
weather,cold;tiempo,frío
teacher,best;profesor,mejor
error,common;error,común;error,habitual
percent,minor;porcentaje,pequeño
luck,good;suerte,bueno
blast,deadly;explosión,mortal
laugh,hearty;risa,sincero
appetite,insatiable;apetito,insaciable
tremor,vast;terremoto,grande;terremoto,gran
beard,black;barba,negro
hour,full;hora,completo
fellow,good;tipo,bueno
meaning,profound;significado,profundo
delay,much;retraso,mucho
participation,active;participación,activo
neighborhood,small;barrio,pequeño
room,ample;habitación,amplio;habitación,espacioso
effort,great;esfuerzo,grande;esfuerzo,gran
hair,white;pelo,blanco
trouble,much;problema,grande;problema,gran
idea,wonderful;idea,maravilloso
level,low;nivel,bajo
evening,enchanted;velada,agradable
