experience,have;experiencia,tener
note,take;nota,tomar
need,feel;necesidad,sentir
bite,take;mordisco,dar;bocado,dar
proof,have;prueba,tener
date,have;cita,tener
evidence,have;prueba,tener
time,have;tiempo,tener
squeal,give;grito,dar;chillido,dar;chillido,pegar
idea,have;idea,tener
phrase,state;frase,decir;frase,pronunciar
feel,get;sensación,tener
patience,have;paciencia,tener
magic,do;magia,hacer
day,spend;día,pasar
drink,have;trago,tomar;trago,dar
reputation,hold;reputación,mantener
present,give;regalo,dar;regalo,hacer
lunch,make;almuerzo,tomar;almuerzo,tener;comida,tener
lunch,have;almuerzo,tomar;almuerzo,tener;comida,tener
adjustment,make;ajuste,hacer
sip,take;sorbo,dar;sorbo,tomar
impact,have;impacto,tener
hand,shake;mano,dar
will,have;voluntad,tener;deseo,tener
action,take;acción,emprender
message,send;mensaje,mandar;mensaje,enviar
difficulty,have;dificultad,tener
expression,wear;expresión,poner;cara,poner
deal,make;trato,hacer
requirement,meet;requisito,cumplir
chance,get;oportunidad,tener;ocasión,tener
implication,have;implicación,tener
room,book;habitación,reservar
spell,put;hechizo,hacer;encantamiendo,hacer
damage,cause;daño,causar
contact,have;contacto,tener
help,get;ayuda,conseguir;ayuda,recibir
laugh,produce;risa,dar;gracia,hacer
light,give;luz,dar
sympathy,have;simpatía,tener
need,have;necesidad,tener
step,make;paso,dar
collection,make;colección,hacer
war,make;guerra,hacer;guerra,emprender
fragrance,have;aroma,tener;fragancia,tener
break,get;descanso,tomar;pausa,hacer
attention,pay;atención,prestar
decision,make;decisión,tomar
appearance,have;apariencia,tener
